,,,,,,,,,,,,,,,,,,,,,,,,
,"Repo / Reverse Repo Auctions under the Liquidity Adjustment Facility (LAF)
",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,LAF Auction Date,Repo (Fixed Rate),,,,,,Reverse Repo (Fixed Rate),,,,,Repo (Variable Rate),,,,,,Reverse Repo (Variable Rate),,,,,
,,Repo/Reverse Repo Period (Days),Bids Received,,Bids Accepted,,Cut-off Rate (%),Bids Received,,Bids Accepted,,Cut-off Rate (%),Period (Days),Bids Received,,Bids Accepted,,Cut-off Rate (%),Period (Days),Bids Received,,Bids Accepted,,Cut-off Rate (%)
,,,Number,Amount,Number,Amount,,Number,Amount,Number,Amount,,,Number,Amount,Number,Amount,,,Number,Amount,Number,Amount,
,2024-25   ,,,,,,,,,,,,,,,,,,,,,,,
,"Aug 13, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,24,22505.00,24,22505.00,0.00
,"Aug 12, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,34,42970.00,34,42970.00,0.00
,"Aug 09, 2024",,,-,,-,,,-,,-,,,,-,,-,,17,62,60190.00,62,60190.00,0.00
,"Aug 06, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,33,43757.00,33,43757.00,0.00
,"Aug 05, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,47,78955.00,47,78955.00,0.00
,"Aug 02, 2024",,,-,,-,,,-,,-,,,,-,,-,,7,33,59860.00,33,59860.00,0.00
,"Aug 01, 2024",,,-,,-,,,-,,-,,,,-,,-,,1,28,32831.00,28,32831.00,0.00
,"Jul 31, 2024",,,-,,-,,,-,,-,,,,-,,-,,2,8,7000.00,8,7000.00,0.00
,"Jul 30, 2024",,,-,,-,,,-,,-,,,,-,,-,,3,19,23855.00,19,23855.00,0.00
,"Jul 29, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,24,41785.00,24,41785.00,0.00
,"Jul 26, 2024",,,-,,-,,,-,,-,,,,-,,-,,14,9,23420.00,9,23420.00,0.00
,"Jul 24, 2024",,,-,,-,,,-,,-,,,,-,,-,,2,11,3860.00,11,3860.00,0.00
,"Jul 19, 2024",,,-,,-,,,-,,-,,,,-,,-,,3,27,33705.00,27,33705.00,0.00
,"Jul 18, 2024",,,-,,-,,,-,,-,,,,-,,-,,1,64,74238.00,33,45360.00,0.00
,"Jul 16, 2024",,,-,,-,,,-,,-,,,,-,,-,,3,20,25465.00,20,25009.00,0.00
,"Jul 15, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,20,37220.00,20,37220.00,0.00
,"Jul 12, 2024",,,-,,-,,,-,,-,,,,-,,-,,14,13,9581.00,13,9581.00,0.00
,"Jul 11, 2024",,,-,,-,,,-,,-,,,,-,,-,,1,27,26560.00,27,25006.00,0.00
,"Jul 10, 2024",,,-,,-,,,-,,-,,,,-,,-,,2,22,10770.00,22,10770.00,0.00
,"Jul 09, 2024",,,-,,-,,,-,,-,,,,-,,-,,3,16,21310.00,16,21310.00,0.00
,"Jul 08, 2024",,,-,,-,,,-,,-,,,,-,,-,,4,10,22890.00,10,22890.00,0.00
,"Jul 05, 2024",,,-,,-,,,-,,-,,,,-,,-,,3,31,61731.00,31,61731.00,0.00
